question number,baseline direct,baseline cot,finetuned,gpto,problem_type_goal,problem_type_graph
1,,,,B,Area,Triangle
2,,,,A,Length,Circle
3,A,,A,,Length,Triangle
4,B,,,,Angle,Circle
5,,,D,D,Angle,Line
6,,,A,,Angle,Other
7,,C,,C,Angle,Other
8,,,,,Length,"Line, Triangle"
9,,,C,C,Length,Triangle
10,,,,D,Length,Triangle
11,,,,B,Area,Circle
12,,A,A,,Angle,"Rectangle, Rhombus"
13,B,,B,,Angle,Rhombus
14,,,,,Length,Triangle
15,A,,,,Angle,Parallelogram
16,,,B,B,Angle,Line
17,,,,C,Length,Circle
18,,D,,D,Angle,Parallelogram
19,,,B,B,Length,"Circle, Rectangle"
20,,,,D,Length,Triangle
21,,C,C,,Length,Parallelogram
22,,,B,,Length,Circle
23,C,,C,C,Length,Triangle
24,A,A,,,Angle,Circle
25,,,,,Length,Triangle
26,C,C,C,C,Length,Rectangle
27,,,,A,Length,Triangle
28,,B,,B,Angle,"Circle, Triangle"
29,C,,,,Area,Parallelogram
30,,,,D,Length,Triangle
31,,,,,Length,"Triangle, Other"
32,D,D,D,D,Area,Rectangle
33,,,,C,Length,Triangle
34,C,,,,Length,Trapezoid
35,,D,D,D,Angle,Triangle
36,,D,,,Angle,Circle
37,B,,,,Angle,Circle
38,,B,,,Length,Triangle
39,,,,A,Angle,Triangle
40,C,,C,C,Angle,Other
41,,,B,B,Angle,Line
42,,,C,C,Angle,Line
43,,,,,Angle,Triangle
44,,,,,Angle,Triangle
45,,,B,B,Length,Triangle
46,B,,,B,Length,Triangle
47,,A,,,Angle,Line
48,D,D,D,D,Length,Triangle
49,,,,,Angle,Other
50,,D,,D,Length,Triangle
51,A,,,A,Angle,Triangle
52,,,,,Angle,"Line, Triangle"
53,,,,A,Length,Rhombus
54,D,,,,Length,Triangle
55,,,,B,Length,Circle
56,,,B,,Angle,Circle
57,,,,C,Length,Triangle
58,,D,,D,Angle,Circle
59,,,D,,Angle,"Rectangle, Rhombus"
60,,,,A,Angle,Triangle
61,,,,B,Length,Triangle
62,,,,C,Length,Circle
63,,D,,,Length,Triangle
64,B,B,B,B,Length,Triangle
65,,A,,A,Length,Triangle
66,,,,C,Length,"Line, Triangle"
67,,B,,,Angle,Circle
68,,,,C,Length,Triangle
69,B,B,,,Angle,Triangle
70,,,,B,Length,Parallelogram
71,C,,,C,Area,Trapezoid
72,,,B,B,Angle,Triangle
73,,,,A,Length,Triangle
74,C,,C,C,Angle,Parallelogram
75,,,,,Angle,Line
76,,,,,Angle,Parallelogram
77,,,C,C,Angle,Circle
78,,,,A,Length,Triangle
79,C,,,C,Length,Other
80,,,,,Angle,Triangle
81,B,B,B,B,Length,Circle
82,,,,A,Length,Triangle
83,B,,B,B,Length,"Line, Triangle"
84,,,,,Length,Triangle
85,C,C,,C,Angle,Rhombus
86,C,,,C,Angle,Circle
87,,C,,C,Length,Circle
88,A,,,,Ratio,Triangle
89,,,,A,Angle,Other
90,,,B,B,Length,Parallelogram
91,A,,,,"Angle, Ratio",Triangle
92,,,B,B,Length,Circle
93,C,,,,Length,Circle
94,,B,B,B,Length,Line
95,,,,C,Length,Triangle
96,,,,,Length,Circle
97,,,D,,Length,Circle
98,,,,,Angle,Triangle
99,,,,,Length,Triangle
100,A,,,A,Angle,"Rectangle, Triangle"
101,,,,B,Length,"Line, Triangle"
102,A,A,,A,Angle,Triangle
103,,,,,Area,"Circle, Triangle"
104,,,,,Length,Triangle
105,C,,,,Area,Rhombus
106,,,,A,Angle,Parallelogram
107,A,,,,Length,Triangle
108,B,,,,Length,Triangle
109,,B,,B,Angle,Line
110,A,,A,,Length,Circle
111,,,C,C,Length,Triangle
112,B,,,B,Length,Triangle
113,A,,A,,Length,Triangle
114,,A,,A,Length,Triangle
115,,B,B,B,Angle,Triangle
116,,,,C,Angle,Triangle
117,,,D,D,Angle,Line
118,A,,,A,"Angle, Ratio",Triangle
119,,,,B,Angle,Circle
120,,,A,A,Length,Triangle
121,C,,C,C,Length,Triangle
122,,B,,,Length,Triangle
123,,,D,D,Length,Rectangle
124,,,,,Angle,Circle
125,,,,A,Length,"Circle, Triangle"
126,,,,B,Angle,"Line, Triangle"
127,,,C,C,Length,Parallelogram
128,,,,B,Area,Circle
129,D,,D,D,Length,Triangle
130,,,C,C,Angle,Trapezoid
131,,,,,Length,Triangle
132,,,,B,Angle,Circle
133,,,B,,Length,Triangle
134,C,,,C,Length,"Line, Triangle"
135,,,,,Length,Triangle
136,,,,A,Length,Circle
137,,,,B,Angle,Circle
138,,,,,Angle,"Line, Triangle"
139,,,B,B,Angle,Circle
140,,,,,Angle,"Line, Triangle"
141,C,,,C,Angle,Trapezoid
142,,B,,,Ratio,Other
143,,,B,B,Length,Triangle
144,,,,A,Angle,Parallelogram
145,,,B,B,Area,Circle
146,,B,B,B,Area,Circle
147,,,,B,Length,"Circle, Triangle"
148,,,A,,Angle,Rectangle
149,,,B,B,Length,Triangle
150,D,D,D,D,Length,Rhombus
151,,,,,Length,"Line, Triangle"
152,,,,,Angle,"Line, Triangle"
153,A,,,,Angle,Line
154,,,,D,Length,Triangle
155,,,,,Angle,Parallelogram
156,,,,,Length,Circle
157,B,,,,Angle,"Circle, Triangle"
158,,,D,D,Length,Triangle
159,,,,A,Length,Triangle
160,,,,,Length,Circle
161,,,,C,Area,"Rectangle, Triangle"
162,,,,C,Area,Circle
163,A,,A,,Angle,Parallelogram
164,A,,,A,Area,Circle
165,,,,,Ratio,Triangle
166,,,B,B,Length,Parallelogram
167,,,D,,Angle,Rectangle
168,,,A,,Angle,Parallelogram
169,,,,,Angle,Circle
170,B,,,,Length,"Circle, Triangle"
171,B,B,,B,Angle,Circle
172,,,,,Angle,Triangle
173,,,,,Angle,Line
174,,C,,C,Angle,Circle
175,,,,D,"Angle, Ratio",Circle
176,,,B,B,Length,Triangle
177,,,,B,Length,Triangle
178,,,,A,Length,"Line, Circle"
179,A,,,A,Area,Parallelogram
180,,D,,D,Length,Circle
181,,A,,,Length,Parallelogram
182,,,,,Length,Triangle
183,A,A,,,Length,"Line, Triangle"
184,,D,D,D,Angle,Line
185,,,C,C,Angle,Triangle
